,id,has_startup
287,jl_a5e6280afef0b3bf,1
288,jl_5a6e02e87d78404f,1
289,jl_956939c8c5c79255,1
290,jl_20fe3d419e58809c,1
291,jl_80d79eb20b01d7e7,1
292,jl_4222734a19f8404a,1
293,jl_b75c6d151955805c,1
294,jl_ca9a6e8948c95c60,1
295,jl_27d47a850f9a63a8,1
296,jl_8c70839af57a7428,1
297,jl_29b2fe18235e65fa,1
298,jl_3114e9d13f4b4aad,1
299,jl_2f41402b0d1e22a6,1
300,jl_2864d1437c2dfa23,1
301,jl_caae85351cd782ca,1
302,jl_7f53f8a7cd5a7725,1
303,jl_80d79eb20b01d7e7,1
304,jl_1cd14944abbffaeb,1
305,jl_4222734a19f8404a,1
306,jl_d2cbe8875b6fdc51,1
307,jl_b75c6d151955805c,1
308,jl_7272a43dd9515d20,1
309,jl_b031af5d10006e7d,1
310,jl_39b6dfd1dadfb833,1
311,jl_3114e9d13f4b4aad,1
312,jl_4c7626db5e2e9dda,1
313,jl_ca9a6e8948c95c60,1
314,jl_8c70839af57a7428,1
315,jl_f204071115217471,1
316,jl_d0421b3d39341b5c,1
317,jl_52a8e2e10b8551c2,1
318,jl_29b2fe18235e65fa,1
319,jl_30e53ef111c48496,1
320,jl_b3fee06f9d3e7937,1
321,jl_2f41402b0d1e22a6,1
322,jl_1498023d1041b9af,1
323,jl_9cd5e15b0d52ac3d,1
324,jl_6a906b0d00ff7337,1
325,jl_6bd6dccd747afaf5,1
326,jl_614cffda2822b594,1
327,jl_7ca7ec20e8a87bef,1
328,jl_c324e34081c43ddf,1
329,jl_c7719c15b50f09d9,1
330,jl_102a2bd673d4940d,1
331,jl_494b878f92dec490,1
332,jl_e408261828aa95e7,1
333,jl_ee52cf57a3b6cea7,1
334,jl_6417b88c1e033352,1
335,jl_2209b3d568085f9d,1
336,jl_cb0709ce7194b345,1
337,jl_805247253f6cbc3f,1
338,jl_fbbc5aa0bb981a2d,1
339,jl_eae9bf2b44fc45ca,1
340,jl_72b70793a17036c8,1
341,jl_eba5e6ef0e57e96c,1
342,jl_654ec64d5844c60f,1
343,jl_ad3440156a99519e,1
344,jl_d4d9b14b3514459d,1
345,jl_e2f0fd8d785c83a3,1
346,jl_9455b3e1012d1133,1
347,jl_8d18b0d2d1fc6efd,1
348,jl_b21f6ad45815fb62,1
349,jl_0220b6f5dd0f02e2,1
350,jl_288db7c4e5337442,1
351,jl_44644badc6d0778a,1
352,jl_4c69168b5581484e,1
353,jl_c3280ef90dd3bbc0,1
354,jl_e6df2984b17ae344,1
355,jl_1510a78a5449aebd,1
