,job_id,has_phd,title
142,jl_256cf445cff32ba8,1,Principle Scientist
143,jl_5d23f27794c61840,1,Sr. Bioinformatics Scientist
144,jl_531c5f59fa2db3b0,1,Summer Research Program Intern
145,jl_1414aac901470fe3,1,Senior Data Scientist
146,jl_10becf8503b54a86,1,Electrolyte Scientist
147,jl_3434e08258be7549,1,PRODUCT DEVELOPMENT SCIENTIST/SENIOR SCIENTIST - FORMULATION
148,jl_e5f7cff76fe2d217,1,Senior Biostatistician
149,jl_f5e6050e63495755,1,Lead Data Scientist
150,jl_9441717ee65b9177,1,Senior Scientist â€“ Computational Chemistry
151,jl_834e18841034374f,1,Principal Scientist Biology
152,jl_2cb218213ebed890,1,Junior Data Scientist
153,jl_98fbcf1df40d912b,1,"Research Scientist - Amazon Web Services - Cambridge, MA"
154,jl_ce3b36ce4622d771,1,Protein Production Scientist
155,jl_a4bbae96f02d4499,1,"Principal Pharmacometric Scientist,Quantitative Clinical Pha..."
156,jl_0374ae7e88caa699,1,Network Scientist Intern - Grad student â€“ Summer 2017
157,jl_5348f8e5059d9c0d,1,Coastal Ocean Research Scientist
158,jl_c04db1093b895da1,1,"Senior Staff Engineer, Cell Culture Process Development"
159,jl_5d28fc7ff1e3bac0,1,Staff Data Scientist
160,jl_b5fbf95706d473b4,1,Senior Scientist DSP
161,jl_f5e6050e63495755,1,Lead Data Scientist
162,jl_524ff7c7beb65add,1,"Quantitative Development Intern- Data and Auto, Summer 2017"
163,jl_aca94848461bb4af,1,"Senior Scientist, Translational Sciences, Genomics"
164,jl_643f3e5fe979eaac,1,Senior Scientist (Protein Engineering)
165,jl_b4a3a9413b46f1da,1,Computer Vision Engineer
166,jl_104372296a1d5292,1,Data Scientist
167,jl_069e91ac98318cac,1,Data Scientist
168,jl_65d088fbd9d17248,1,"Associate Director/Principal Scientist, In Vivo Therapeutics"
169,jl_a01fab3c333a5e6a,1,Medical Imaging Software/Algorithm Engineer
170,jl_f7807a6ff42fa9cd,1,"Process Engineer, Continuous Manufacturing Process Design"
171,jl_e9811bb71cffe5c4,1,Sr Scientist
172,jl_a7e5cadd2d2cf906,1,"PRINCIPAL DATA SCIENTIST, NON-PROFIT - LIFE-CHANGING PROJECT..."
173,jl_95ca2d452994b200,1,Research Scientist
174,jl_e5f7cff76fe2d217,1,Senior Biostatistician
175,jl_c4257a9476edaa7e,1,Associate Scientist/Scientist - Immunofluorescence
176,jl_c96aa92737c301d0,1,Senior Software Engineer
177,jl_796c8c5e76ef2c2d,1,Data Scientist - Geospatial Analytics
178,jl_4ed85ce1d965e27a,1,Data Scientist
179,jl_aad34d95918a1375,1,Multimodal Machine Learning Scientist
180,jl_aad34d95918a1375,1,Multimodal Machine Learning Scientist
181,jl_2cb218213ebed890,1,Junior Data Scientist
182,jl_094d7f8476745a99,1,RESEARCH FELLOW / 40 HOURS / DAY / BWH - PATHOLOGY
183,jl_c8c8d305379d71d2,1,Principal Scientist- Computational Biologist;1040786
184,jl_636a21ad19c3fcbb,1,Senior Scientist/Seismologist
185,jl_4ed85ce1d965e27a,1,Data Scientist
186,jl_e9811bb71cffe5c4,1,Sr Scientist
187,jl_95ca2d452994b200,1,Research Scientist
188,jl_ada8a7b4477d3923,1,Senior Computer/Data Scientist
