,id,over_90k
399,jl_a62c009a975f774d,0
400,jl_186060c358262179,0
401,jl_5b3210d196d3e33b,0
402,jl_810e9aac17e3fdf4,0
403,jl_664c077a5bafbfea,0
404,jl_f1c3d4b10a1737a6,0
406,jl_fc4393b04a09734b,0
407,jl_78d0cf9cf307f9a5,0
408,jl_b46f6221eeb3a253,0
410,jl_ac93360c3a6eeca1,0
411,jl_aa1721403e344083,0
412,jl_3825479dd089dc9f,0
413,jl_1f6e760127e7b63c,0
414,jl_aca94848461bb4af,0
415,jl_e9811bb71cffe5c4,0
416,jl_1d622931c16bfc23,0
417,jl_d0d4f8b580dafc13,0
418,jl_ca0415673a82ada9,0
419,jl_9c671f293ac4a7ff,0
420,jl_8a1f3a0d0a13121f,0
421,jl_0f2a521f54f66849,0
422,jl_1c9aeb7f87e00732,0
423,jl_6db7d7f426f98057,0
424,jl_6c1208bc7aac6c1a,0
425,jl_b0ac77f8058d126c,0
426,jl_61e9f8843211c3e0,0
428,jl_b3774e7570439b70,0
429,jl_03646a271e03048e,0
430,jl_d27635c0172569a1,0
431,jl_e64e49f8ea8aab88,0
432,jl_b162eed165143b19,0
433,jl_37e7ff36d5712e74,0
434,jl_42aae740801db526,0
435,jl_b305ee437b583d4e,0
436,jl_96015a8a6b83e4a2,0
437,jl_40d02aaaa69fa7f1,0
438,jl_afa5ee8086d0eced,0
439,jl_03f3d0bf89a61037,0
440,jl_b1c56c8b0184aa1a,0
441,jl_e6deaf69242f5fc7,0
442,jl_b7d512391f7b8533,0
443,jl_c802e30b1a4ae8a1,0
444,jl_565115cc3d2a2539,0
445,jl_9cecb23bf8c2da16,0
446,jl_ce064112630ab6e3,0
447,jl_15591348118a4b44,0
448,jl_b75b1081037800a9,0
449,jl_835c4d64189de5c9,0
450,jl_8de9f0ee78387f13,0
451,jl_7e8ac22c90815fa9,0
452,jl_969fc7ccfae03e45,0
453,jl_136bfce5dafd26e8,0
454,jl_b425320ca64968d7,0
455,jl_60fd5ca58cfdac0a,0
456,jl_4081ee078908251b,0
457,jl_1db19e8a03f309f4,0
458,jl_08a6c1709bf1a02b,0
459,jl_029a51e93c5e114e,0
460,jl_f7ec88b5f2e80966,0
462,jl_b140520982dd3d77,0
463,jl_5968364e73201f1f,0
465,jl_c02b490cb3149ab8,0
467,jl_0d428e4582c3e5e0,0
468,jl_06b803c3f0ea9bef,0
469,jl_d0b5b7f634634f51,0
472,jl_29ad94bc1e6f8836,0
473,jl_ae9e4c7e01faa2c3,0
476,jl_451440b8fbc354ed,0
477,jl_53e6990a9d8ec34c,0
478,jl_ae1a44aaddb48640,0
479,jl_81224a41d2d4c369,0
480,jl_eb3d017bfeb92a97,0
481,jl_1d462ce7ed9df5e1,0
482,jl_54309aa697ac0d34,0
483,jl_adb5c876631d27c4,0
484,jl_643f3e5fe979eaac,0
485,jl_c27b87e217c370b1,0
487,jl_6661e6259973de86,0
488,jl_1e8c28bc992d6e4d,0
490,jl_eb1474381d62bbfd,0
491,jl_56a47672b46804ba,0
493,jl_ce70ddbe2c173865,0
497,jl_aa00999baf2c600c,0
498,jl_a120650e6abacf3d,0
499,jl_3e514f6c4bcde418,0
500,jl_40f7c222f9109378,0
501,jl_f05336448ae0a620,0
502,jl_36c428d6bb061a1c,0
503,jl_18573129be2ef0f8,0
504,jl_6957a6f0219d8499,0
505,jl_a0be1705d18fc9f7,0
508,jl_ce3b36ce4622d771,0
509,jl_3f8e8f6558eb04ef,0
510,jl_8237e5f65e53b6ec,0
511,jl_20031a6c2bb1d54c,0
512,jl_619cfb62aa572757,0
514,jl_92752afa2d796ab9,0
515,jl_111fa91f575c67a4,0
516,jl_c0aa1f152ee40365,0
518,jl_88234076ad3bb473,0
519,jl_8ebdeed9d57c9abb,0
520,jl_148b08ffb48b5797,0
521,jl_92e8acb4a97fc0a7,0
522,jl_e438e228408eccec,0
525,jl_4b3dafdb60f62849,0
526,jl_7fa77d836912f6a3,0
528,jl_040819296bc6f2a6,0
529,jl_746a9c7b6115ae1b,0
530,jl_7b3f6de755e399a4,0
531,jl_8a73ff0037fede87,0
532,jl_25f16017787efd66,0
534,jl_2fe154973a4109dd,0
536,jl_2a867fe58a9332dd,0
537,jl_68e1a85381bef21f,0
538,jl_81db58a28694a8d2,0
539,jl_7db3cf5af0a5f397,0
540,jl_731af02e52b0a1d3,0
543,jl_136d98a5373aeec9,0
544,jl_cf097328f5832f46,0
545,jl_2b8311a7195c44aa,0
546,jl_c5f3c47b30bb0eba,0
547,jl_ae66dd9f8a6c2369,0
