account_key,join_date,join_year,join_month,join_day,days_active
536,2015-04-24,2015,4,24,121
107,2015-04-24,2015,4,24,121
353,2015-04-24,2015,4,24,121
146,2015-04-24,2015,4,24,121
466,2015-05-06,2015,5,6,109
484,2015-05-07,2015,5,7,108
192,2015-05-09,2015,5,9,106
398,2015-05-11,2015,5,11,104
20,2015-05-11,2015,5,11,104
200,2015-05-12,2015,5,12,103
665,2015-05-12,2015,5,12,103
950,2015-07-19,2015,7,19,35
1087,2015-07-20,2015,7,20,34
940,2015-08-13,2015,8,13,10
986,2015-08-15,2015,8,15,8
632,2015-04-07,2015,4,7,138
117,2015-04-08,2015,4,8,137
94,2015-04-24,2015,4,24,121
299,2015-04-24,2015,4,24,121
574,2015-04-24,2015,4,24,121
212,2015-04-24,2015,4,24,121
401,2015-04-24,2015,4,24,121
387,2015-04-24,2015,4,24,121
1113,2015-05-06,2015,5,6,109
382,2015-05-06,2015,5,6,109
8,2015-05-06,2015,5,6,109
1,2015-05-06,2015,5,6,109
184,2015-05-12,2015,5,12,103
61,2015-05-12,2015,5,12,103
596,2015-05-12,2015,5,12,103
7,2015-05-12,2015,5,12,103
41,2015-05-13,2015,5,13,102
513,2015-05-28,2015,5,28,87
545,2015-05-28,2015,5,28,87
572,2015-05-28,2015,5,28,87
199,2015-05-30,2015,5,30,85
14,2015-06-03,2015,6,3,81
646,2015-06-04,2015,6,4,80
6,2015-06-05,2015,6,5,79
619,2015-06-06,2015,6,6,78
456,2015-06-07,2015,6,7,77
80,2015-06-07,2015,6,7,77
116,2015-05-06,2015,5,6,109
89,2015-05-07,2015,5,7,108
471,2015-05-07,2015,5,7,108
1002,2015-05-07,2015,5,7,108
154,2015-05-09,2015,5,9,106
58,2015-05-09,2015,5,9,106
406,2015-05-10,2015,5,10,105
1282,2015-05-10,2015,5,10,105
162,2015-05-11,2015,5,11,104
242,2015-05-11,2015,5,11,104
235,2015-05-11,2015,5,11,104
928,2015-05-11,2015,5,11,104
1151,2015-05-11,2015,5,11,104
249,2015-05-12,2015,5,12,103
621,2015-05-12,2015,5,12,103
656,2015-05-12,2015,5,12,103
497,2015-05-12,2015,5,12,103
73,2015-05-28,2015,5,28,87
290,2015-05-30,2015,5,30,85
1290,2015-06-02,2015,6,2,82
294,2015-06-04,2015,6,4,80
573,2015-06-07,2015,6,7,77
1081,2015-06-08,2015,6,8,76
1036,2015-06-09,2015,6,9,75
271,2015-07-08,2015,7,8,46
317,2015-07-09,2015,7,9,45
1257,2015-07-09,2015,7,9,45
326,2015-07-09,2015,7,9,45
748,2015-06-08,2015,6,8,76
296,2015-06-08,2015,6,8,76
628,2015-06-09,2015,6,9,75
1262,2015-06-09,2015,6,9,75
531,2015-07-08,2015,7,8,46
1209,2015-07-09,2015,7,9,45
498,2015-07-09,2015,7,9,45
430,2015-07-10,2015,7,10,44
694,2015-07-10,2015,7,10,44
238,2015-07-13,2015,7,13,41
48,2015-07-16,2015,7,16,38
