account_key,join_date,cancel_date,days_active,status
1233,2015-02-11,2015-02-16,6,0
1234,2014-12-09,2014-12-14,6,0
1235,2015-08-12,2015-08-27,16,1
1236,2014-12-05,2015-02-03,61,0
1237,2015-05-28,2015-05-28,1,0
1238,2014-11-10,2014-11-10,1,0
1239,2014-11-17,2014-11-19,3,0
1240,2015-01-12,2015-01-19,8,0
1241,2015-06-09,2015-06-09,1,0
1242,2015-01-12,2015-08-27,228,1
1243,2014-11-10,2014-11-18,9,0
1244,2014-11-10,2015-08-27,291,1
1245,2014-12-05,2014-12-09,5,0
1246,2014-12-09,2014-12-15,7,0
1247,2015-03-05,2015-04-12,39,0
1248,2015-04-06,2015-05-13,38,0
1249,2015-05-11,2015-07-18,69,0
1250,2015-05-11,2015-08-27,109,1
1251,2014-12-05,2015-08-27,266,1
1252,2014-12-05,2014-12-11,7,0
1253,2014-11-10,2015-01-20,72,0
1254,2015-01-10,2015-03-17,67,0
1255,2015-07-17,2015-07-23,7,0
1256,2015-07-18,2015-07-24,7,0
1257,2015-07-09,2015-08-27,50,1
1258,2015-07-15,2015-07-21,7,0
1259,2015-01-13,2015-08-27,227,1
1260,2015-03-11,2015-05-18,69,0
1261,2014-12-03,2014-12-08,6,0
1262,2015-06-09,2015-08-27,80,1
1263,2015-08-16,2015-08-27,12,1
1264,2015-04-02,2015-06-09,69,0
1265,2015-04-08,2015-08-27,142,1
1266,2015-06-07,2015-06-16,10,0
1267,2015-04-02,2015-08-27,148,1
1268,2015-04-06,2015-05-28,53,0
1269,2015-08-21,2015-08-27,7,1
1270,2015-07-20,2015-07-20,1,0
1271,2015-01-07,2015-01-13,7,0
1272,2015-07-17,2015-07-23,7,0
1273,2015-01-12,2015-01-12,1,0
1274,2015-07-08,2015-08-27,51,1
1275,2015-05-09,2015-05-11,3,0
1276,2015-03-10,2015-08-27,171,1
1277,2014-11-14,2015-01-22,70,0
1278,2015-07-17,2015-08-27,42,1
1279,2015-07-17,2015-07-22,6,0
1280,2015-01-12,2015-01-15,4,0
1281,2015-02-09,2015-02-12,4,0
1282,2015-05-10,2015-08-27,110,1
1283,2015-01-07,2015-01-10,4,0
1284,2015-01-13,2015-01-13,1,0
1285,2015-04-07,2015-05-14,38,0
1286,2014-11-14,2014-11-21,8,0
1287,2015-01-13,2015-05-20,128,0
1288,2014-11-10,2014-11-15,6,0
1289,2014-12-04,2015-02-03,62,0
1290,2015-06-02,2015-08-27,87,1
1291,2015-06-03,2015-06-03,1,0
1292,2015-01-07,2015-05-14,128,0
1293,2014-12-08,2014-12-10,3,0
1294,2015-03-10,2015-04-09,31,0
1295,2014-12-09,2015-07-22,226,0
1296,2015-04-06,2015-04-15,10,0
1297,2015-02-05,2015-03-09,33,0
1298,2015-08-11,2015-08-27,17,1
1299,2015-02-05,2015-08-27,204,1
1300,2014-11-10,2014-11-16,7,0
1301,2015-04-03,2015-04-04,2,0
1302,2015-07-18,2015-08-27,41,1
1303,2014-11-14,2015-04-21,159,0
1305,2015-05-12,2015-06-19,39,0
