account_key,projects_completed,completed_one_or_more,first_completion,join_date,days_to_completion,minutes_to_completion,visits_to_completion
164.0,4.0,1.0,2015-07-17,2015-07-16,1.0,389.3315045,2.0
165.0,1.0,1.0,2015-01-22,2014-11-10,73.0,4456.41454633,31.0
166.0,4.0,1.0,2015-03-26,2014-12-08,108.0,3542.17565733,41.0
168.0,2.0,1.0,2015-05-04,2015-01-12,112.0,5807.89328017,53.0
169.0,5.0,1.0,2015-04-16,2014-12-09,128.0,4116.88299933,48.0
170.0,5.0,1.0,2015-03-06,2015-01-09,56.0,5496.1033815,36.0
171.0,5.0,1.0,2015-04-13,2015-03-08,36.0,8191.894511,36.0
172.0,3.0,1.0,2015-04-16,2015-03-10,37.0,1534.0119025,24.0
173.0,1.0,1.0,2015-07-06,2015-05-07,60.0,2524.38821717,17.0
174.0,1.0,1.0,2015-02-27,2014-12-03,86.0,2304.61514833,30.0
175.0,5.0,1.0,2015-05-21,2015-05-09,12.0,3571.09561867,13.0
176.0,3.0,1.0,2015-07-15,2015-07-08,7.0,1595.9424085,6.0
177.0,1.0,1.0,2015-05-26,2015-04-10,46.0,1636.927204,13.0
178.0,3.0,1.0,2014-11-24,2014-11-17,7.0,783.338306334,6.0
179.0,3.0,1.0,2014-12-06,2014-11-10,26.0,2741.885222,25.0
180.0,1.0,1.0,2015-05-05,2015-01-12,113.0,3104.810774,40.0
181.0,1.0,1.0,2015-03-20,2014-11-13,127.0,4026.09210483,40.0
182.0,2.0,1.0,2015-06-15,2015-05-08,38.0,1837.64751483,19.0
183.0,2.0,1.0,2015-05-30,2015-04-01,59.0,2254.83356283,25.0
184.0,2.0,1.0,2015-07-14,2015-05-12,63.0,1387.94309717,14.0
185.0,4.0,1.0,2015-01-15,2014-11-12,64.0,2084.16790383,29.0
186.0,4.0,1.0,2015-03-09,2014-11-14,115.0,5139.538305,49.0
187.0,2.0,1.0,2014-12-31,2014-11-12,49.0,4480.138572,42.0
188.0,3.0,1.0,2015-02-12,2014-11-16,88.0,3601.42552217,18.0
189.0,2.0,1.0,2015-05-21,2015-05-12,9.0,1922.771355,8.0
190.0,1.0,1.0,2015-05-05,2015-02-11,83.0,2300.71624767,35.0
191.0,3.0,1.0,2015-07-15,2014-11-16,241.0,8191.89422067,119.0
192.0,2.0,1.0,2015-07-13,2015-05-09,65.0,1252.72433067,23.0
