account_key,join_date,cancel_date,days_active,status
1258,2015-07-15,2015-07-21,6,0
1261,2014-12-03,2014-12-08,5,0
1269,2015-08-21,2015-08-27,6,1
1270,2015-07-20,2015-07-20,0,0
1271,2015-01-07,2015-01-13,6,0
1272,2015-07-17,2015-07-23,6,0
1273,2015-01-12,2015-01-12,0,0
1275,2015-05-09,2015-05-11,2,0
1279,2015-07-17,2015-07-22,5,0
1280,2015-01-12,2015-01-15,3,0
1281,2015-02-09,2015-02-12,3,0
1283,2015-01-07,2015-01-10,3,0
1284,2015-01-13,2015-01-13,0,0
1286,2014-11-14,2014-11-21,7,0
1288,2014-11-10,2014-11-15,5,0
1291,2015-06-03,2015-06-03,0,0
1293,2014-12-08,2014-12-10,2,0
1300,2014-11-10,2014-11-16,6,0
1301,2015-04-03,2015-04-04,1,0
