account_key,cancel_date,days_to_cancel,join_date,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
756,2015-01-15,61.0,2014-11-15,2015.0,1.0,15.0,2014,11,15
1219,2014-11-12,0.0,2014-11-12,2014.0,11.0,12.0,2014,11,12
101,2015-04-20,159.0,2014-11-12,2015.0,4.0,20.0,2014,11,12
1021,2014-11-17,5.0,2014-11-12,2014.0,11.0,17.0,2014,11,12
1108,2014-11-16,4.0,2014-11-12,2014.0,11.0,16.0,2014,11,12
800,2014-11-14,2.0,2014-11-12,2014.0,11.0,14.0,2014,11,12
800,2015-05-11,68.0,2015-03-04,2015.0,5.0,11.0,2015,3,4
702,2014-11-15,2.0,2014-11-13,2014.0,11.0,15.0,2014,11,13
702,2015-01-14,60.0,2014-11-15,2015.0,1.0,14.0,2014,11,15
702,2015-03-10,55.0,2015-01-14,2015.0,3.0,10.0,2015,1,14
871,2014-11-13,0.0,2014-11-13,2014.0,11.0,13.0,2014,11,13
744,2014-12-21,37.0,2014-11-14,2014.0,12.0,21.0,2014,11,14
217,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
217,2015-03-10,115.0,2014-11-15,2015.0,3.0,10.0,2014,11,15
1221,2014-11-21,7.0,2014-11-14,2014.0,11.0,21.0,2014,11,14
1211,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
1211,2015-01-15,61.0,2014-11-15,2015.0,1.0,15.0,2014,11,15
1051,2014-11-16,2.0,2014-11-14,2014.0,11.0,16.0,2014,11,14
1286,2014-11-21,7.0,2014-11-14,2014.0,11.0,21.0,2014,11,14
53,2014-12-21,37.0,2014-11-14,2014.0,12.0,21.0,2014,11,14
895,2014-11-19,5.0,2014-11-14,2014.0,11.0,19.0,2014,11,14
895,2014-11-11,0.0,2014-11-11,2014.0,11.0,11.0,2014,11,11
283,2014-11-15,2.0,2014-11-13,2014.0,11.0,15.0,2014,11,13
338,2015-01-14,60.0,2014-11-15,2015.0,1.0,14.0,2014,11,15
338,2015-02-03,20.0,2015-01-14,2015.0,2.0,3.0,2015,1,14
338,2015-02-22,19.0,2015-02-03,2015.0,2.0,22.0,2015,2,3
903,2014-11-21,5.0,2014-11-16,2014.0,11.0,21.0,2014,11,16
253,2015-01-14,59.0,2014-11-16,2015.0,1.0,14.0,2014,11,16
861,2014-11-19,3.0,2014-11-16,2014.0,11.0,19.0,2014,11,16
178,2015-05-09,173.0,2014-11-17,2015.0,5.0,9.0,2014,11,17
822,2015-01-15,59.0,2014-11-17,2015.0,1.0,15.0,2014,11,17
123,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
123,2015-04-17,38.0,2015-03-10,2015.0,4.0,17.0,2015,3,10
943,2014-11-17,7.0,2014-11-10,2014.0,11.0,17.0,2014,11,10
1204,2014-12-17,37.0,2014-11-10,2014.0,12.0,17.0,2014,11,10
890,2014-11-11,1.0,2014-11-10,2014.0,11.0,11.0,2014,11,10
837,2014-11-11,1.0,2014-11-10,2014.0,11.0,11.0,2014,11,10
114,2014-11-11,1.0,2014-11-10,2014.0,11.0,11.0,2014,11,10
810,2014-11-13,3.0,2014-11-10,2014.0,11.0,13.0,2014,11,10
394,2015-04-17,158.0,2014-11-10,2015.0,4.0,17.0,2014,11,10
1253,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
1253,2015-01-20,6.0,2015-01-14,2015.0,1.0,20.0,2015,1,14
504,2015-06-17,219.0,2014-11-10,2015.0,6.0,17.0,2014,11,10
72,2015-05-17,188.0,2014-11-10,2015.0,5.0,17.0,2014,11,10
268,2014-12-17,37.0,2014-11-10,2014.0,12.0,17.0,2014,11,10
268,2015-08-10,129.0,2015-04-03,2015.0,8.0,10.0,2015,4,3
339,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
339,2015-06-17,77.0,2015-04-01,2015.0,6.0,17.0,2015,4,1
339,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
1244,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
1244,2015-03-10,55.0,2015-01-14,2015.0,3.0,10.0,2015,1,14
1244,2015-04-27,41.0,2015-03-17,2015.0,4.0,27.0,2015,3,17
1244,2015-08-17,92.0,2015-05-17,2015.0,8.0,17.0,2015,5,17
752,2014-11-19,9.0,2014-11-10,2014.0,11.0,19.0,2014,11,10
520,2015-03-17,127.0,2014-11-10,2015.0,3.0,17.0,2014,11,10
367,2015-04-02,142.0,2014-11-11,2015.0,4.0,2.0,2014,11,11
258,2015-07-17,249.0,2014-11-10,2015.0,7.0,17.0,2014,11,10
1047,2014-11-11,1.0,2014-11-10,2014.0,11.0,11.0,2014,11,10
329,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
329,2015-04-08,29.0,2015-03-10,2015.0,4.0,8.0,2015,3,10
329,2015-02-03,20.0,2015-01-14,2015.0,2.0,3.0,2015,1,14
329,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
612,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
612,2015-03-17,7.0,2015-03-10,2015.0,3.0,17.0,2015,3,10
150,2015-05-17,188.0,2014-11-10,2015.0,5.0,17.0,2014,11,10
179,2015-03-17,127.0,2014-11-10,2015.0,3.0,17.0,2014,11,10
587,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
587,2015-04-17,93.0,2015-01-14,2015.0,4.0,17.0,2015,1,14
439,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
18,2015-02-17,99.0,2014-11-10,2015.0,2.0,17.0,2014,11,10
544,2015-05-17,188.0,2014-11-10,2015.0,5.0,17.0,2014,11,10
913,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
913,2015-02-17,34.0,2015-01-14,2015.0,2.0,17.0,2015,1,14
576,2015-02-17,99.0,2014-11-10,2015.0,2.0,17.0,2014,11,10
431,2015-03-17,127.0,2014-11-10,2015.0,3.0,17.0,2014,11,10
480,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
480,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
525,2015-07-17,249.0,2014-11-10,2015.0,7.0,17.0,2014,11,10
1111,2015-03-10,119.0,2014-11-11,2015.0,3.0,10.0,2014,11,11
1111,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
1111,2015-04-18,17.0,2015-04-01,2015.0,4.0,18.0,2015,4,1
1107,2014-11-19,8.0,2014-11-11,2014.0,11.0,19.0,2014,11,11
577,2015-01-19,68.0,2014-11-12,2015.0,1.0,19.0,2014,11,12
577,2015-07-12,157.0,2015-02-05,2015.0,7.0,12.0,2015,2,5
92,2015-07-19,249.0,2014-11-12,2015.0,7.0,19.0,2014,11,12
335,2015-05-19,188.0,2014-11-12,2015.0,5.0,19.0,2014,11,12
275,2014-11-16,4.0,2014-11-12,2014.0,11.0,16.0,2014,11,12
930,2014-11-17,4.0,2014-11-13,2014.0,11.0,17.0,2014,11,13
740,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
740,2014-11-13,2.0,2014-11-11,2014.0,11.0,13.0,2014,11,11
389,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
1218,2014-11-15,0.0,2014-11-15,2014.0,11.0,15.0,2014,11,15
693,2015-01-14,60.0,2014-11-15,2015.0,1.0,14.0,2014,11,15
693,2015-01-23,9.0,2015-01-14,2015.0,1.0,23.0,2015,1,14
770,2014-11-19,4.0,2014-11-15,2014.0,11.0,19.0,2014,11,15
88,2015-03-10,115.0,2014-11-15,2015.0,3.0,10.0,2014,11,15
88,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
845,2014-11-23,7.0,2014-11-16,2014.0,11.0,23.0,2014,11,16
983,2015-01-14,59.0,2014-11-16,2015.0,1.0,14.0,2014,11,16
983,2015-01-23,9.0,2015-01-14,2015.0,1.0,23.0,2015,1,14
1118,2014-12-24,37.0,2014-11-17,2014.0,12.0,24.0,2014,11,17
1118,2014-11-17,5.0,2014-11-12,2014.0,11.0,17.0,2014,11,12
499,2014-11-17,0.0,2014-11-17,2014.0,11.0,17.0,2014,11,17
499,2015-05-13,96.0,2015-02-06,2015.0,5.0,13.0,2015,2,6
590,2015-02-03,62.0,2014-12-03,2015.0,2.0,3.0,2014,12,3
590,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
264,2015-02-03,62.0,2014-12-03,2015.0,2.0,3.0,2014,12,3
264,2015-02-25,22.0,2015-02-03,2015.0,2.0,25.0,2015,2,3
1043,2014-12-04,1.0,2014-12-03,2014.0,12.0,4.0,2014,12,3
1130,2015-01-25,53.0,2014-12-03,2015.0,1.0,25.0,2014,12,3
654,2014-12-04,0.0,2014-12-04,2014.0,12.0,4.0,2014,12,4
654,2014-12-04,0.0,2014-12-04,2014.0,12.0,4.0,2014,12,4
654,2014-12-03,0.0,2014-12-03,2014.0,12.0,3.0,2014,12,3
736,2015-03-11,97.0,2014-12-04,2015.0,3.0,11.0,2014,12,4
964,2014-12-04,0.0,2014-12-04,2014.0,12.0,4.0,2014,12,4
976,2015-01-11,38.0,2014-12-04,2015.0,1.0,11.0,2014,12,4
1203,2014-12-09,5.0,2014-12-04,2014.0,12.0,9.0,2014,12,4
316,2015-06-13,189.0,2014-12-06,2015.0,6.0,13.0,2014,12,6
347,2015-03-14,97.0,2014-12-07,2015.0,3.0,14.0,2014,12,7
295,2014-12-07,0.0,2014-12-07,2014.0,12.0,7.0,2014,12,7
343,2015-03-14,97.0,2014-12-07,2015.0,3.0,14.0,2014,12,7
1127,2014-12-08,1.0,2014-12-07,2014.0,12.0,8.0,2014,12,7
1076,2014-12-12,4.0,2014-12-08,2014.0,12.0,12.0,2014,12,8
502,2014-11-21,6.0,2014-11-15,2014.0,11.0,21.0,2014,11,15
1223,2014-12-13,5.0,2014-12-08,2014.0,12.0,13.0,2014,12,8
221,2015-02-10,69.0,2014-12-03,2015.0,2.0,10.0,2014,12,3
631,2014-12-08,5.0,2014-12-03,2014.0,12.0,8.0,2014,12,3
631,2015-07-15,68.0,2015-05-08,2015.0,7.0,15.0,2015,5,8
495,2014-11-17,5.0,2014-11-12,2014.0,11.0,17.0,2014,11,12
1009,2015-02-12,69.0,2014-12-05,2015.0,2.0,12.0,2014,12,5
1252,2014-12-11,6.0,2014-12-05,2014.0,12.0,11.0,2014,12,5
909,2014-12-28,23.0,2014-12-05,2014.0,12.0,28.0,2014,12,5
1156,2014-12-08,2.0,2014-12-06,2014.0,12.0,8.0,2014,12,6
524,2015-02-03,59.0,2014-12-06,2015.0,2.0,3.0,2014,12,6
759,2015-02-03,57.0,2014-12-08,2015.0,2.0,3.0,2014,12,8
759,2015-04-15,7.0,2015-04-08,2015.0,4.0,15.0,2015,4,8
759,2015-04-08,64.0,2015-02-03,2015.0,4.0,8.0,2015,2,3
896,2015-02-03,57.0,2014-12-08,2015.0,2.0,3.0,2014,12,8
896,2015-04-08,29.0,2015-03-10,2015.0,4.0,8.0,2015,3,10
896,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
346,2014-12-05,0.0,2014-12-05,2014.0,12.0,5.0,2014,12,5
411,2015-02-03,57.0,2014-12-08,2015.0,2.0,3.0,2014,12,8
411,2015-04-08,29.0,2015-03-10,2015.0,4.0,8.0,2015,3,10
411,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
411,2015-06-15,68.0,2015-04-08,2015.0,6.0,15.0,2015,4,8
705,2014-12-14,6.0,2014-12-08,2014.0,12.0,14.0,2014,12,8
705,2015-04-28,20.0,2015-04-08,2015.0,4.0,28.0,2015,4,8
776,2015-02-03,57.0,2014-12-08,2015.0,2.0,3.0,2014,12,8
557,2015-02-03,57.0,2014-12-08,2015.0,2.0,3.0,2014,12,8
557,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
1234,2014-12-14,5.0,2014-12-09,2014.0,12.0,14.0,2014,12,9
634,2015-06-16,189.0,2014-12-09,2015.0,6.0,16.0,2014,12,9
1124,2015-02-03,56.0,2014-12-09,2015.0,2.0,3.0,2014,12,9
1124,2015-04-08,64.0,2015-02-03,2015.0,4.0,8.0,2015,2,3
932,2015-01-16,38.0,2014-12-09,2015.0,1.0,16.0,2014,12,9
817,2014-12-09,0.0,2014-12-09,2014.0,12.0,9.0,2014,12,9
169,2014-12-14,5.0,2014-12-09,2014.0,12.0,14.0,2014,12,9
169,2015-08-12,188.0,2015-02-05,2015.0,8.0,12.0,2015,2,5
1171,2015-01-07,0.0,2015-01-07,2015.0,1.0,7.0,2015,1,7
1271,2015-01-13,6.0,2015-01-07,2015.0,1.0,13.0,2015,1,7
229,2015-06-14,158.0,2015-01-07,2015.0,6.0,14.0,2015,1,7
876,2015-01-11,3.0,2015-01-08,2015.0,1.0,11.0,2015,1,8
622,2015-06-15,158.0,2015-01-08,2015.0,6.0,15.0,2015,1,8
1065,2015-01-11,3.0,2015-01-08,2015.0,1.0,11.0,2015,1,8
884,2015-01-08,0.0,2015-01-08,2015.0,1.0,8.0,2015,1,8
730,2015-01-30,22.0,2015-01-08,2015.0,1.0,30.0,2015,1,8
905,2015-03-15,66.0,2015-01-08,2015.0,3.0,15.0,2015,1,8
1164,2015-01-14,5.0,2015-01-09,2015.0,1.0,14.0,2015,1,9
170,2015-08-16,219.0,2015-01-09,2015.0,8.0,16.0,2015,1,9
467,2015-07-02,173.0,2015-01-10,2015.0,7.0,2.0,2015,1,10
780,2015-02-18,38.0,2015-01-11,2015.0,2.0,18.0,2015,1,11
418,2015-07-18,188.0,2015-01-11,2015.0,7.0,18.0,2015,1,11
1074,2015-03-10,58.0,2015-01-11,2015.0,3.0,10.0,2015,1,11
1074,2015-04-18,39.0,2015-03-10,2015.0,4.0,18.0,2015,3,10
859,2015-02-18,38.0,2015-01-11,2015.0,2.0,18.0,2015,1,11
859,2014-11-22,7.0,2014-11-15,2014.0,11.0,22.0,2014,11,15
91,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
3,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
157,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
157,2015-07-17,129.0,2015-03-10,2015.0,7.0,17.0,2015,3,10
378,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
378,2015-04-17,38.0,2015-03-10,2015.0,4.0,17.0,2015,3,10
1214,2015-01-15,66.0,2014-11-10,2015.0,1.0,15.0,2014,11,10
483,2015-04-20,161.0,2014-11-10,2015.0,4.0,20.0,2014,11,10
1094,2014-12-17,37.0,2014-11-10,2014.0,12.0,17.0,2014,11,10
882,2014-12-17,37.0,2014-11-10,2014.0,12.0,17.0,2014,11,10
412,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
412,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
366,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
366,2015-04-17,16.0,2015-04-01,2015.0,4.0,17.0,2015,4,1
366,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
696,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
696,2015-01-20,6.0,2015-01-14,2015.0,1.0,20.0,2015,1,14
892,2014-11-12,2.0,2014-11-10,2014.0,11.0,12.0,2014,11,10
1142,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
1142,2015-07-17,129.0,2015-03-10,2015.0,7.0,17.0,2015,3,10
1142,2015-03-10,55.0,2015-01-14,2015.0,3.0,10.0,2015,1,14
148,2015-03-10,119.0,2014-11-11,2015.0,3.0,10.0,2014,11,11
148,2015-04-18,17.0,2015-04-01,2015.0,4.0,18.0,2015,4,1
148,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
630,2015-03-18,127.0,2014-11-11,2015.0,3.0,18.0,2014,11,11
1083,2014-11-12,1.0,2014-11-11,2014.0,11.0,12.0,2014,11,11
1011,2014-11-12,1.0,2014-11-11,2014.0,11.0,12.0,2014,11,11
1011,2015-05-15,37.0,2015-04-08,2015.0,5.0,15.0,2015,4,8
1114,2014-11-18,6.0,2014-11-12,2014.0,11.0,18.0,2014,11,12
161,2015-05-19,188.0,2014-11-12,2015.0,5.0,19.0,2014,11,12
441,2015-06-19,219.0,2014-11-12,2015.0,6.0,19.0,2014,11,12
712,2015-03-20,127.0,2014-11-13,2015.0,3.0,20.0,2014,11,13
76,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
76,2015-01-15,61.0,2014-11-15,2015.0,1.0,15.0,2014,11,15
938,2015-01-16,63.0,2014-11-14,2015.0,1.0,16.0,2014,11,14
1085,2014-11-18,4.0,2014-11-14,2014.0,11.0,18.0,2014,11,14
829,2014-12-22,37.0,2014-11-15,2014.0,12.0,22.0,2014,11,15
829,2014-11-15,1.0,2014-11-14,2014.0,11.0,15.0,2014,11,14
203,2014-11-21,6.0,2014-11-15,2014.0,11.0,21.0,2014,11,15
203,2015-07-19,68.0,2015-05-12,2015.0,7.0,19.0,2015,5,12
1239,2014-11-19,2.0,2014-11-17,2014.0,11.0,19.0,2014,11,17
1230,2014-11-19,2.0,2014-11-17,2014.0,11.0,19.0,2014,11,17
875,2014-11-17,0.0,2014-11-17,2014.0,11.0,17.0,2014,11,17
563,2015-07-10,219.0,2014-12-03,2015.0,7.0,10.0,2014,12,3
1167,2015-01-10,38.0,2014-12-03,2015.0,1.0,10.0,2014,12,3
643,2015-02-03,62.0,2014-12-03,2015.0,2.0,3.0,2014,12,3
643,2015-04-08,29.0,2015-03-10,2015.0,4.0,8.0,2015,3,10
643,2015-04-18,10.0,2015-04-08,2015.0,4.0,18.0,2015,4,8
643,2015-03-10,35.0,2015-02-03,2015.0,3.0,10.0,2015,2,3
110,2015-05-10,158.0,2014-12-03,2015.0,5.0,10.0,2014,12,3
1289,2015-02-03,61.0,2014-12-04,2015.0,2.0,3.0,2014,12,4
1120,2014-12-04,0.0,2014-12-04,2014.0,12.0,4.0,2014,12,4
500,2015-02-03,60.0,2014-12-05,2015.0,2.0,3.0,2014,12,5
500,2014-11-17,5.0,2014-11-12,2014.0,11.0,17.0,2014,11,12
728,2014-12-05,0.0,2014-12-05,2014.0,12.0,5.0,2014,12,5
1160,2015-01-12,38.0,2014-12-05,2015.0,1.0,12.0,2014,12,5
64,2015-04-13,128.0,2014-12-06,2015.0,4.0,13.0,2014,12,6
637,2014-12-10,4.0,2014-12-06,2014.0,12.0,10.0,2014,12,6
637,2015-04-14,35.0,2015-03-10,2015.0,4.0,14.0,2015,3,10
637,2015-08-13,99.0,2015-05-06,2015.0,8.0,13.0,2015,5,6
637,2015-03-10,62.0,2015-01-07,2015.0,3.0,10.0,2015,1,7
52,2015-03-14,97.0,2014-12-07,2015.0,3.0,14.0,2014,12,7
747,2014-12-13,6.0,2014-12-07,2014.0,12.0,13.0,2014,12,7
111,2015-03-01,84.0,2014-12-07,2015.0,3.0,1.0,2014,12,7
583,2015-05-15,158.0,2014-12-08,2015.0,5.0,15.0,2014,12,8
1199,2015-01-15,38.0,2014-12-08,2015.0,1.0,15.0,2014,12,8
743,2015-01-16,38.0,2014-12-09,2015.0,1.0,16.0,2014,12,9
474,2015-03-16,97.0,2014-12-09,2015.0,3.0,16.0,2014,12,9
960,2014-12-15,6.0,2014-12-09,2014.0,12.0,15.0,2014,12,9
667,2015-01-16,38.0,2014-12-09,2015.0,1.0,16.0,2014,12,9
1095,2014-12-13,4.0,2014-12-09,2014.0,12.0,13.0,2014,12,9
1095,2015-08-13,68.0,2015-06-06,2015.0,8.0,13.0,2015,6,6
79,2015-07-16,219.0,2014-12-09,2015.0,7.0,16.0,2014,12,9
691,2015-01-10,3.0,2015-01-07,2015.0,1.0,10.0,2015,1,7
197,2015-06-14,158.0,2015-01-07,2015.0,6.0,14.0,2015,1,7
67,2015-03-14,66.0,2015-01-07,2015.0,3.0,14.0,2015,1,7
678,2015-02-15,38.0,2015-01-08,2015.0,2.0,15.0,2015,1,8
873,2015-01-30,22.0,2015-01-08,2015.0,1.0,30.0,2015,1,8
623,2015-04-15,97.0,2015-01-08,2015.0,4.0,15.0,2015,1,8
623,2014-12-14,7.0,2014-12-07,2014.0,12.0,14.0,2014,12,7
507,2015-03-10,60.0,2015-01-09,2015.0,3.0,10.0,2015,1,9
488,2014-11-20,5.0,2014-11-15,2014.0,11.0,20.0,2014,11,15
270,2015-05-31,142.0,2015-01-09,2015.0,5.0,31.0,2015,1,9
362,2015-02-05,27.0,2015-01-09,2015.0,2.0,5.0,2015,1,9
362,2015-04-16,70.0,2015-02-05,2015.0,4.0,16.0,2015,2,5
263,2015-04-17,97.0,2015-01-10,2015.0,4.0,17.0,2015,1,10
263,2015-07-08,37.0,2015-06-01,2015.0,7.0,8.0,2015,6,1
965,2015-04-17,97.0,2015-01-10,2015.0,4.0,17.0,2015,1,10
761,2015-02-18,38.0,2015-01-11,2015.0,2.0,18.0,2015,1,11
1191,2015-01-11,0.0,2015-01-11,2015.0,1.0,11.0,2015,1,11
785,2015-03-10,57.0,2015-01-12,2015.0,3.0,10.0,2015,1,12
785,2015-05-19,41.0,2015-04-08,2015.0,5.0,19.0,2015,4,8
785,2015-04-08,29.0,2015-03-10,2015.0,4.0,8.0,2015,3,10
989,2015-02-18,37.0,2015-01-12,2015.0,2.0,18.0,2015,1,12
989,2015-06-19,72.0,2015-04-08,2015.0,6.0,19.0,2015,4,8
989,2015-04-08,49.0,2015-02-18,2015.0,4.0,8.0,2015,2,18
1293,2014-12-10,2.0,2014-12-08,2014.0,12.0,10.0,2014,12,8
682,2014-12-15,7.0,2014-12-08,2014.0,12.0,15.0,2014,12,8
682,2014-12-07,0.0,2014-12-07,2014.0,12.0,7.0,2014,12,7
682,2015-05-15,37.0,2015-04-08,2015.0,5.0,15.0,2015,4,8
1295,2014-12-15,6.0,2014-12-09,2014.0,12.0,15.0,2014,12,9
1295,2015-07-22,5.0,2015-07-17,2015.0,7.0,22.0,2015,7,17
695,2014-12-15,6.0,2014-12-09,2014.0,12.0,15.0,2014,12,9
671,2015-02-03,56.0,2014-12-09,2015.0,2.0,3.0,2014,12,9
907,2014-12-15,6.0,2014-12-09,2014.0,12.0,15.0,2014,12,9
1121,2015-01-12,14.0,2014-12-29,2015.0,1.0,12.0,2014,12,29
1121,2014-12-29,48.0,2014-11-11,2014.0,12.0,29.0,2014,11,11
1121,2015-02-18,37.0,2015-01-12,2015.0,2.0,18.0,2015,1,12
966,2015-03-10,62.0,2015-01-07,2015.0,3.0,10.0,2015,1,7
442,2015-03-10,62.0,2015-01-07,2015.0,3.0,10.0,2015,1,7
442,2015-04-27,43.0,2015-03-15,2015.0,4.0,27.0,2015,3,15
5,2015-04-16,99.0,2015-01-07,2015.0,4.0,16.0,2015,1,7
5,2015-01-07,0.0,2015-01-07,2015.0,1.0,7.0,2015,1,7
1283,2015-01-10,3.0,2015-01-07,2015.0,1.0,10.0,2015,1,7
1137,2015-01-10,2.0,2015-01-08,2015.0,1.0,10.0,2015,1,8
34,2015-02-03,26.0,2015-01-08,2015.0,2.0,3.0,2015,1,8
34,2015-01-08,53.0,2014-11-16,2015.0,1.0,8.0,2014,11,16
824,2015-01-31,22.0,2015-01-09,2015.0,1.0,31.0,2015,1,9
824,2015-03-04,22.0,2015-02-10,2015.0,3.0,4.0,2015,2,10
688,2015-01-11,2.0,2015-01-09,2015.0,1.0,11.0,2015,1,9
1060,2015-02-18,38.0,2015-01-11,2015.0,2.0,18.0,2015,1,11
1010,2015-01-11,0.0,2015-01-11,2015.0,1.0,11.0,2015,1,11
745,2014-11-13,2.0,2014-11-11,2014.0,11.0,13.0,2014,11,11
227,2014-12-19,37.0,2014-11-12,2014.0,12.0,19.0,2014,11,12
929,2014-11-17,5.0,2014-11-12,2014.0,11.0,17.0,2014,11,12
841,2014-11-12,0.0,2014-11-12,2014.0,11.0,12.0,2014,11,12
599,2015-01-14,63.0,2014-11-12,2015.0,1.0,14.0,2014,11,12
599,2015-01-22,8.0,2015-01-14,2015.0,1.0,22.0,2015,1,14
181,2015-03-10,117.0,2014-11-13,2015.0,3.0,10.0,2014,11,13
1035,2014-11-13,0.0,2014-11-13,2014.0,11.0,13.0,2014,11,13
1035,2015-02-09,3.0,2015-02-06,2015.0,2.0,9.0,2015,2,6
