0,1,2,3,4,5,6
85,687,0.887378640777,{'C': 1},"[[17, 14], [6, 135]]",0.884049930652,0.887449296373
86,682,0.900195694716,{'C': 0.01},"[[8, 14], [13, 136]]",0.897959183673,0.898191509614
87,676,0.895463510848,{'C': 1},"[[15, 12], [6, 136]]",0.886165116934,0.895452533489
88,672,0.896825396825,{'C': 1},"[[14, 17], [4, 133]]",0.886337868481,0.896792079208
89,670,0.892430278884,{'C': 100},"[[8, 10], [7, 143]]",0.889299943085,0.888431372549
90,668,0.910179640719,{'C': 10},"[[13, 19], [9, 126]]",0.901910464785,0.908158415842
91,665,0.879518072289,{'C': 100},"[[12, 12], [1, 142]]",0.872633390706,0.877387755102
92,664,0.885542168675,{'C': 10},"[[10, 11], [5, 140]]",0.880952380952,0.883490549055
93,657,0.908536585366,{'C': 10},"[[14, 17], [6, 128]]",0.899535423926,0.904473304473
94,657,0.882113821138,{'C': 0.001},"[[16, 6], [11, 132]]",0.878048780488,0.878040816327
95,657,0.896341463415,{'C': 1},"[[11, 14], [5, 135]]",0.892857142857,0.896242245727
96,657,0.888211382114,{'C': 0.1},"[[12, 16], [2, 135]]",0.882404181185,0.884044526902
97,655,0.894093686354,{'C': 0.1},"[[11, 9], [6, 138]]",0.888856560954,0.890084518656
98,651,0.899590163934,{'C': 0.1},"[[12, 10], [7, 134]]",0.894613583138,0.891619965699
99,640,0.897916666667,{'C': 0.1},"[[6, 10], [4, 140]]",0.893452380952,0.893659115572
100,635,0.909663865546,{'C': 0.1},"[[9, 12], [4, 134]]",0.903961584634,0.90554497947
101,616,0.904761904762,{'C': 0.001},"[[10, 9], [6, 129]]",0.903525046382,0.904834599715
102,616,0.919913419913,{'C': 1},"[[11, 15], [3, 125]]",0.91218305504,0.919892473118
103,616,0.91341991342,{'C': 1},"[[10, 10], [4, 130]]",0.903834260977,0.913508417716
104,616,0.906926406926,{'C': 1},"[[13, 5], [7, 129]]",0.901051329623,0.906989247312
105,616,0.902597402597,{'C': 10},"[[13, 8], [3, 130]]",0.893011750155,0.898223468911
106,616,0.924242424242,{'C': 1},"[[10, 14], [5, 125]]",0.914965986395,0.924094909298
107,616,0.91341991342,{'C': 1},"[[12, 9], [5, 128]]",0.906617192331,0.913464235624
108,607,0.918681318681,{'C': 0.1},"[[10, 12], [4, 126]]",0.911459968603,0.914285714286
109,585,0.901826484018,{'C': 1},"[[18, 5], [4, 120]]",0.893020221787,0.901802507837
110,562,0.916864608076,{'C': 1},"[[11, 9], [3, 118]]",0.908042076688,0.916890756303
111,552,0.932367149758,{'C': 1},"[[12, 10], [6, 110]]",0.914078674948,0.932346109175
112,546,0.911980440098,{'C': 1},"[[12, 6], [4, 115]]",0.904645476773,0.912069597269
113,538,0.918114143921,{'C': 100},"[[12, 9], [5, 109]]",0.903580290677,0.913142878651
114,527,0.913924050633,{'C': 1},"[[12, 8], [3, 109]]",0.898372513562,0.913887536514
115,514,0.911688311688,{'C': 10},"[[12, 6], [3, 108]]",0.90426716141,0.909213593424
116,512,0.903645833333,{'C': 0.01},"[[5, 11], [0, 112]]",0.901041666667,0.903656869446
117,512,0.90625,{'C': 1},"[[8, 6], [3, 111]]",0.89880952381,0.906248137827
118,512,0.921875,{'C': 100},"[[11, 13], [3, 101]]",0.910714285714,0.916503671767
119,512,0.911458333333,{'C': 1},"[[8, 9], [4, 107]]",0.907738095238,0.911644495855
120,512,0.908854166667,{'C': 1},"[[13, 6], [4, 105]]",0.8984375,0.908846416741
121,511,0.900783289817,{'C': 0.001},"[[10, 2], [9, 107]]",0.898918314062,0.898114166535
122,511,0.900783289817,{'C': 10},"[[12, 5], [4, 107]]",0.891831406192,0.898080866502
123,511,0.900783289817,{'C': 0.1},"[[12, 5], [3, 108]]",0.8948153674,0.900711569133
124,511,0.90861618799,{'C': 1},"[[15, 7], [3, 103]]",0.903021260724,0.908538829591
125,511,0.90861618799,{'C': 1},"[[12, 6], [5, 105]]",0.904886236479,0.908741258741
126,511,0.911227154047,{'C': 1},"[[9, 6], [6, 107]]",0.907870197687,0.911341991342
127,486,0.92032967033,{'C': 0.001},"[[16, 6], [7, 93]]",0.915227629513,0.920471841705
128,486,0.923076923077,{'C': 100},"[[13, 6], [5, 98]]",0.918367346939,0.920312435723
