0,1,2,3,4
238,192,"[[5, 0], [1, 42]]",0.979166666667,0.979166666667
239,192,"[[6, 0], [1, 41]]",0.979166666667,0.971926713948
240,192,"[[2, 1], [0, 45]]",0.979166666667,0.97901891253
241,192,"[[4, 0], [1, 43]]",0.979166666667,0.98610508033
242,191,"[[3, 0], [0, 45]]",1.0,0.965130023641
243,191,"[[4, 1], [0, 43]]",0.979166666667,0.97901891253
244,190,"[[4, 0], [1, 43]]",0.979166666667,0.971778959811
245,190,"[[3, 1], [1, 43]]",0.958333333333,0.978871158392
246,190,"[[4, 0], [1, 43]]",0.979166666667,0.95079787234
247,190,"[[5, 1], [0, 42]]",0.979166666667,0.978562801932
248,188,"[[6, 1], [0, 40]]",0.978723404255,0.971624781581
249,187,"[[5, 1], [0, 41]]",0.978723404255,0.985507246377
250,187,"[[5, 0], [0, 42]]",1.0,0.978569226025
251,181,"[[1, 0], [2, 43]]",0.95652173913,0.977441077441
252,178,"[[3, 1], [0, 41]]",0.977777777778,0.977088716624
253,178,"[[4, 1], [2, 38]]",0.933333333333,0.992424242424
254,178,"[[5, 0], [1, 39]]",0.977777777778,0.970202020202
255,178,"[[2, 0], [2, 41]]",0.955555555556,0.985016835017
256,178,"[[4, 0], [0, 41]]",1.0,0.947803617571
257,178,"[[1, 1], [0, 43]]",0.977777777778,0.970033670034
258,178,"[[4, 1], [0, 40]]",0.977777777778,0.992424242424
259,178,"[[1, 1], [0, 43]]",0.977777777778,0.992592592593
260,178,"[[2, 1], [1, 41]]",0.955555555556,0.962794612795
261,178,"[[0, 4], [0, 41]]",0.911111111111,0.992592592593
262,178,"[[3, 1], [1, 40]]",0.955555555556,0.992592592593
263,173,"[[6, 0], [0, 38]]",1.0,0.976744186047
264,160,"[[3, 0], [1, 36]]",0.975,0.975192828851
265,154,"[[1, 0], [0, 38]]",1.0,0.982681061628
266,150,"[[3, 1], [0, 34]]",0.973684210526,0.982219061166
267,138,"[[0, 0], [1, 34]]",0.971428571429,0.980375180375
