0,1,2,3,4
204,280,"[[5, 0], [5, 60]]",0.928571428571,0.928571428571
205,266,"[[6, 4], [0, 57]]",0.940298507463,0.944896728479
206,266,"[[7, 4], [1, 55]]",0.925373134328,0.959892843475
207,266,"[[4, 5], [1, 57]]",0.910447761194,0.974898236092
208,266,"[[6, 3], [0, 58]]",0.955223880597,0.944821347806
209,266,"[[5, 1], [4, 57]]",0.925373134328,0.954771596563
210,266,"[[4, 2], [1, 60]]",0.955223880597,0.939770842756
211,266,"[[6, 2], [4, 55]]",0.910447761194,0.954917719097
212,266,"[[4, 2], [1, 60]]",0.955223880597,0.959746720941
213,265,"[[10, 2], [1, 54]]",0.955223880597,0.959669020863
214,265,"[[4, 1], [3, 59]]",0.940298507463,0.949410291201
215,265,"[[1, 1], [0, 65]]",0.985074626866,0.95469157708
216,265,"[[1, 0], [2, 64]]",0.970149253731,0.944444444444
217,265,"[[5, 2], [1, 59]]",0.955223880597,0.954545454545
218,265,"[[3, 2], [4, 58]]",0.910447761194,0.959744401535
219,265,"[[4, 3], [2, 58]]",0.925373134328,0.959595959596
220,265,"[[4, 1], [1, 61]]",0.970149253731,0.944819028401
221,252,"[[2, 2], [2, 57]]",0.936507936508,0.952380952381
222,251,"[[6, 3], [0, 54]]",0.952380952381,0.962792285373
223,251,"[[3, 5], [0, 55]]",0.920634920635,0.973454301075
224,251,"[[5, 2], [0, 56]]",0.968253968254,0.941542925414
225,251,"[[2, 2], [1, 58]]",0.952380952381,0.962792285373
226,250,"[[7, 0], [0, 56]]",1.0,0.924711596843
227,249,"[[4, 1], [2, 56]]",0.952380952381,0.962365591398
228,246,"[[3, 1], [0, 58]]",0.983870967742,0.967477525119
229,230,"[[2, 1], [3, 52]]",0.931034482759,0.953418027828
230,226,"[[7, 1], [1, 48]]",0.964912280702,0.970342522974
231,222,"[[2, 0], [1, 53]]",0.982142857143,0.95811287478
232,217,"[[4, 1], [1, 49]]",0.963636363636,0.962954492514
233,211,"[[5, 1], [0, 47]]",0.981132075472,0.955603038936
234,193,"[[2, 1], [0, 46]]",0.979591836735,0.97901891253
235,193,"[[3, 0], [3, 43]]",0.938775510204,0.978871158392
236,193,"[[1, 2], [1, 45]]",0.938775510204,0.993197278912
237,193,"[[2, 0], [0, 47]]",1.0,0.958333333333
238,192,"[[3, 1], [0, 44]]",0.979166666667,0.978871158392
239,192,"[[4, 1], [0, 43]]",0.979166666667,0.986111111111
240,192,"[[0, 0], [1, 47]]",0.979166666667,0.992907801418
241,192,"[[4, 1], [0, 43]]",0.979166666667,0.993055555556
242,191,"[[2, 0], [0, 46]]",1.0,0.97901891253
243,191,"[[7, 1], [1, 39]]",0.958333333333,0.993055555556
244,190,"[[1, 0], [1, 46]]",0.979166666667,0.957594562648
245,190,"[[5, 2], [0, 41]]",0.958333333333,1.0
246,190,"[[5, 0], [1, 42]]",0.979166666667,0.978723404255
247,190,"[[8, 0], [0, 40]]",1.0,0.978723404255
248,188,"[[3, 0], [2, 42]]",0.957446808511,0.985809178744
249,187,"[[3, 0], [0, 44]]",1.0,0.971014492754
250,187,"[[4, 0], [0, 43]]",1.0,0.971322849214
