account_key,join_date,join_year,join_month,join_day
35,2015-02-08,2015,2,8
463,2015-02-09,2015,2,9
284,2015-04-08,2015,4,8
239,2015-03-04,2015,3,4
475,2015-05-09,2015,5,9
276,2015-05-10,2015,5,10
608,2015-05-10,2015,5,10
341,2015-05-10,2015,5,10
501,2015-05-11,2015,5,11
25,2015-05-12,2015,5,12
674,2015-05-12,2015,5,12
771,2015-05-13,2015,5,13
63,2015-05-28,2015,5,28
481,2015-05-28,2015,5,28
42,2015-05-30,2015,5,30
939,2015-04-24,2015,4,24
11,2015-04-24,2015,4,24
262,2015-04-24,2015,4,24
167,2015-04-24,2015,4,24
302,2015-04-24,2015,4,24
551,2015-04-24,2015,4,24
609,2015-04-24,2015,4,24
109,2015-05-06,2015,5,6
211,2015-05-06,2015,5,6
274,2015-05-06,2015,5,6
360,2015-05-06,2015,5,6
540,2015-05-08,2015,5,8
1173,2015-05-08,2015,5,8
112,2015-05-08,2015,5,8
479,2015-05-09,2015,5,9
237,2015-05-10,2015,5,10
487,2015-05-10,2015,5,10
304,2015-05-10,2015,5,10
330,2015-05-10,2015,5,10
1250,2015-05-11,2015,5,11
27,2015-05-11,2015,5,11
260,2015-05-11,2015,5,11
511,2015-05-11,2015,5,11
399,2015-05-12,2015,5,12
977,2015-05-12,2015,5,12
556,2015-05-12,2015,5,12
1265,2015-05-12,2015,5,12
252,2015-05-12,2015,5,12
100,2015-02-05,2015,2,5
313,2015-02-05,2015,2,5
615,2015-03-05,2015,3,5
372,2015-03-06,2015,3,6
614,2015-03-06,2015,3,6
652,2015-03-10,2015,3,10
1185,2015-05-13,2015,5,13
490,2015-05-13,2015,5,13
365,2015-05-13,2015,5,13
220,2015-05-29,2015,5,29
124,2015-05-31,2015,5,31
496,2015-06-03,2015,6,3
405,2015-06-04,2015,6,4
452,2015-06-04,2015,6,4
318,2015-06-05,2015,6,5
266,2015-06-06,2015,6,6
219,2015-06-06,2015,6,6
83,2015-06-06,2015,6,6
121,2015-06-07,2015,6,7
459,2015-06-08,2015,6,8
1032,2015-06-08,2015,6,8
128,2015-06-08,2015,6,8
1031,2015-06-09,2015,6,9
673,2015-06-01,2015,6,1
843,2015-06-02,2015,6,2
216,2015-06-02,2015,6,2
554,2015-06-07,2015,6,7
133,2015-06-08,2015,6,8
887,2015-06-08,2015,6,8
248,2015-06-09,2015,6,9
629,2015-06-09,2015,6,9
478,2015-06-09,2015,6,9
1096,2015-07-15,2015,7,15
163,2015-07-09,2015,7,9
605,2015-02-06,2015,2,6
381,2015-02-09,2015,2,9
26,2015-02-11,2015,2,11
508,2015-03-04,2015,3,4
509,2015-03-05,2015,3,5
432,2015-03-09,2015,3,9
375,2015-03-09,2015,3,9
183,2015-04-01,2015,4,1
400,2015-04-01,2015,4,1
585,2015-04-01,2015,4,1
13,2015-04-01,2015,4,1
205,2015-04-01,2015,4,1
