,Rank,Title,Release,Duration (Min),Genre,Rating,Votes
191,192,Star Wars: Episode VII - The Force Awakens,2015,136,Action,8.1,626433
192,193,Spotlight,2015,128,Crime,8.1,240740
193,194,In the Name of the Father,1994,133,Biography,8.1,115024
194,195,Stand by Me,1986,89,Adventure,8.1,282727
195,196,Relatos salvajes,2014,122,Comedy,8.1,101470
196,197,The Nights of Cabiria,1957,110,Drama,8.2,27576
197,198,Butch Cassidy and the Sundance Kid,1969,110,Biography,8.1,157908
198,199,The 400 Blows,1959,99,Crime,8.1,73187
199,200,Mad Max: Fury Road,2015,120,Action,8.1,599900
200,201,The Maltese Falcon,1941,100,Crime,8.1,117580
201,202,12 Years a Slave,2013,134,Biography,8.1,465068
202,203,Ben-Hur,1960,212,Adventure,8.1,168229
203,204,The Grand Budapest Hotel,2014,99,Adventure,8.1,507212
204,205,Million Dollar Baby,2005,132,Drama,8.1,500708
205,206,Persona,1967,83,Drama,8.1,65170
206,207,Amores Perros,2001,154,Drama,8.1,179416
207,208,Jurassic Park,1993,127,Adventure,8.1,642067
208,209,The Princess Bride,1987,98,Adventure,8.1,304822
209,210,Drishyam,2015,163,Crime,8.5,35236
210,211,Hachi: A Dog's Tale,2010,93,Drama,8.1,167891
211,212,Memories of Murder,2003,132,Crime,8.1,72196
212,213,Stalker,1980,163,Drama,8.1,72169
213,214,Nausicaä of the Valley of the Wind,1984,117,Animation,8.1,101188
214,215,The Truman Show,1998,103,Comedy,8.1,697054
215,216,The Grapes of Wrath,1940,129,Drama,8.1,65732
216,217,Before Sunrise,1995,101,Drama,8.1,192605
217,218,Touch of Evil,1958,95,Crime,8.1,75732
218,219,The Message,1977,177,Adventure,8.4,33793
219,220,Annie Hall,1977,93,Comedy,8.1,201171
220,221,Gandhi,1983,191,Biography,8.1,178001
221,222,Rocky,1976,120,Drama,8.1,392593
222,223,Harry Potter and the Deathly Hallows: Part 2,2011,130,Adventure,8.1,569649
223,224,The Bourne Ultimatum,2007,115,Action,8.1,512103
224,225,Diabolique,1955,116,Crime,8.1,43973
225,226,Donnie Darko,2001,113,Drama,8.1,602247
226,227,"Monsters, Inc.",2001,92,Animation,8.1,612856
227,228,8½,1963,138,Drama,8.1,81691
228,229,Prisoners,2013,153,Crime,8.1,410283
229,230,The Terminator,1984,107,Action,8.0,623056
230,231,The Wizard of Oz,1939,102,Adventure,8.1,302050
231,232,Zootopia,2016,108,Animation,8.1,251362
232,233,Groundhog Day,1993,101,Comedy,8.0,455233
233,234,Catch Me If You Can,2002,141,Biography,8.0,559654
234,235,Twelve Monkeys,1996,129,Mystery,8.0,478400
235,236,Udaan,2010,134,Drama,8.3,32323
236,237,Jaws,1975,124,Adventure,8.0,429057
237,238,La Haine,1996,98,Crime,8.1,108374
238,239,Barry Lyndon,1975,184,Adventure,8.1,105996
239,240,The Best Years of Our Lives,1947,172,Drama,8.1,41852
240,241,Infernal Affairs,2002,101,Crime,8.1,95092
241,242,Strangers on a Train,1951,101,Crime,8.1,100446
242,243,Chak de! India,2007,153,Drama,8.3,52021
243,244,The Battle of Algiers,1967,121,Drama,8.1,39266
244,245,Dog Day Afternoon,1975,125,Action,8.0,189020
245,246,Sin City,2005,124,Crime,8.0,674162
246,247,Kind Hearts and Coronets,1950,106,Comedy,8.1,28206
247,248,Rogue One,2016,133,Action,8.1,223575
248,249,The Help,2011,146,Drama,8.1,331327
249,250,PK,2014,153,Comedy,8.2,94875
