,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
880,4739,51503,Pottawattamie,60.61800000000001,19.62990476190476,94.5,9.45,1815.0,181.5,COUNCIL BLUFFS,78,598.56,18.0,162.0,10.5,2015-01-07,2016-03-30
881,4740,51501,Pottawattamie,48.826666666666654,15.047407407407409,270.0,10.0,3951.2399999999993,146.3422222222222,COUNCIL BLUFFS,78,469.68,46.5,474.0,41.599999999999994,2015-02-17,2016-03-08
882,4741,51503,Pottawattamie,48.77657142857143,15.108843537414968,361.5,10.32857142857143,5104.86,145.85314285714284,COUNCIL BLUFFS,78,534.3,37.5,1255.98,63.75,2015-01-13,2016-03-30
883,4742,51501,Pottawattamie,41.54656250000001,13.060119047619054,992.85,10.3421875,11912.009999999995,124.08343749999995,COUNCIL BLUFFS,78,4452.48,388.5,1947.7500000000002,139.32,2015-01-06,2016-03-15
884,4743,51503,Pottawattamie,38.53523584905661,12.703847324679623,2331.0899999999997,10.99570754716981,24399.209999999995,115.09061320754715,COUNCIL BLUFFS,78,6378.180000000001,544.62,509.1,52.5,2015-01-06,2016-03-29
885,4744,52402,Linn,42.91536585365855,15.127549361207898,419.5,10.231707317073171,5265.25,128.42073170731706,CEDAR RAPIDS,57,1123.5,86.75,2503.02,199.24,2015-01-08,2016-03-24
886,4745,52404,Linn,53.942142857142834,16.798843537414964,307.5,10.982142857142858,4515.9,161.28214285714284,CEDAR RAPIDS,57,1016.88,55.5,3184.28,260.8,2015-01-08,2016-03-23
887,4747,52803,Scott,48.868148148148144,15.352345679012345,274.5,10.166666666666666,3944.88,146.10666666666668,DAVENPORT,82,1133.76,72.0,406.65999999999997,20.009999999999998,2015-01-07,2016-03-30
888,4748,52807,Scott,44.95285714285715,14.953367346938775,135.6,9.685714285714285,1878.8999999999999,134.20714285714286,DAVENPORT,82,232.56,15.0,30.6,1.8,2015-02-09,2015-07-20
889,4749,52804,Scott,44.83925925925925,17.31462081128748,231.95,8.59074074074074,3620.63,134.09740740740742,DAVENPORT,82,1015.44,66.45,636.5899999999999,38.25,2015-01-05,2016-03-28
890,4750,52807,Scott,48.955999999999996,14.941608465608464,157.8,10.520000000000001,2187.18,145.81199999999998,DAVENPORT,82,161.64,9.0,718.4800000000001,50.9,2015-01-07,2016-03-30
891,4751,52806,Scott,47.358,15.139047619047616,97.5,9.75,1419.8999999999999,141.98999999999998,DAVENPORT,82,606.9,37.5,1143.54,109.5,2015-01-13,2016-03-22
892,4752,52655,Des Moines,56.79244444444448,22.401997354497365,1210.1199999999997,8.96385185185185,22987.630000000012,170.27874074074083,BURLINGTON,29,4658.280000000001,313.20000000000005,515.64,28.5,2015-01-14,2016-03-30
893,4753,50002,Adair,37.84153846153846,16.495604395604396,110.85,8.526923076923076,1475.1000000000001,113.46923076923078,ADAIR,1,647.52,54.6,1104.84,75.55,2015-01-07,2016-03-30
894,4754,50677,Bremer,70.08666666666666,22.95767195767196,84.0,9.333333333333334,1891.9799999999998,210.21999999999997,WAVERLY,9,531.0,18.0,1406.3800000000003,101.99,2015-01-06,2016-03-28
895,4756,50158,Marshall,36.30375000000001,15.62994791666667,151.8,9.4875,1742.1000000000001,108.88125000000001,MARSHALLTOWN,64,167.88,9.0,1402.77,118.05,2015-01-06,2016-03-08
896,4757,50035,Polk,10.30699680511183,17.48083262716306,677.19,2.1635463258785945,9664.229999999994,30.876134185303496,BONDURANT,77,1350.0900000000004,94.42,514.8199999999999,39.2,2015-01-07,2015-05-27
897,4760,50701,Black Hawk,50.12571428571429,16.17156462585034,133.5,9.535714285714286,2100.1199999999994,150.0085714285714,WATERLOO,7,664.3799999999999,49.5,161.49,15.75,2015-01-22,2015-04-06
898,4762,52144,Winneshiek,29.05230158730159,13.15460789871504,854.85,6.78452380952381,10972.109999999999,87.08023809523809,FORT ATKINSON,96,2347.5100000000007,179.99,303.18,20.25,2015-01-05,2016-03-21
899,4764,50501,Webster,31.400080321285145,19.748696641201395,1466.5099999999995,5.889598393574295,23433.329999999984,94.10975903614451,FORT DODGE,94,3496.4299999999994,180.83,977.76,88.5,2015-01-07,2016-02-02
900,4765,52001,Dubuque,21.474411764705877,17.800347458132183,164.98,4.85235294117647,2188.43,64.36558823529411,DUBUQUE,31,665.21,49.9,532.02,40.5,2015-01-08,2016-02-18
901,4766,52003,Dubuque,30.059375000000003,30.295647321428575,50.989999999999995,3.1868749999999997,1442.06,90.12875,DUBUQUE,31,289.51,9.17,1101.72,77.25,2015-01-13,2016-03-29
902,4767,50023,Polk,17.83216216216216,17.458127690400605,306.89,4.147162162162162,3953.8199999999993,53.42999999999999,ANKENY,77,982.99,73.47,345.66,22.5,2015-04-02,2016-03-17
903,4768,50322,Polk,26.579499999999996,16.64834523809524,223.2,5.58,3180.36,79.509,URBANDALE,77,784.5000000000001,48.0,2840.1,171.0,2015-02-23,2016-02-08
904,4769,50628,Howard,62.047749999999986,16.006452380952382,542.95,13.57375,7437.02,185.9255,ELMA,45,2360.04,186.0,242.24,16.5,2015-01-26,2016-03-28
905,4770,50643,Black Hawk,54.58384615384614,15.25690476190476,321.0,12.346153846153847,4225.740000000001,162.52846153846156,HUDSON,7,624.5999999999999,61.5,1429.0100000000002,100.5,2015-02-16,2015-07-20
906,4771,52402,Linn,25.522894736842094,20.170048925505256,359.23,4.72671052631579,5812.189999999999,76.4761842105263,CEDAR RAPIDS,57,1228.67,81.3,851.2800000000001,48.75,2015-01-12,2016-03-28
907,4773,50265,Polk,8.268260869565216,17.74846528685845,311.45,1.6926630434782608,4555.439999999999,24.757826086956516,WEST DES MOINES,77,957.9400000000002,79.01,69.06,10.5,2015-01-08,2016-03-31
908,4774,51334,Emmet,34.51513513513513,15.656859716859719,344.49999999999994,9.310810810810809,3801.87,102.75324324324325,ESTHERVILLE,32,1107.8000000000002,97.2,459.03,24.05,2015-01-14,2016-03-30
909,4775,50529,Humboldt,38.74235294117646,14.152941176470588,200.1,11.770588235294117,1972.9199999999994,116.05411764705879,DAKOTA CITY,46,174.24,9.0,124.2,9.0,2015-01-05,2016-03-28
910,4777,51046,O'Brien,43.678333333333335,13.871460317460317,394.70000000000005,13.156666666666668,3893.4699999999993,129.7823333333333,PAULLINA,71,1225.1100000000001,134.75,416.4,30.0,2015-01-07,2016-03-30
911,4779,50854,Ringgold,79.56857142857142,18.401632653061224,100.5,14.357142857142858,1670.34,238.61999999999998,MOUNT AYR,80,323.28,18.0,5440.1799999999985,337.77000000000004,2015-01-12,2016-03-21
912,4780,50423,Hancock,43.905,12.47704761904762,259.5,12.975,2624.2799999999993,131.21399999999997,BRITT,41,353.28,52.5,2734.56,153.0,2015-01-12,2016-03-21
913,4781,50535,Sac,31.580769230769235,13.972875457875459,204.9,7.880769230769231,2447.58,94.1376923076923,EARLY,81,346.08,25.5,698.1,55.5,2015-01-13,2016-03-22
914,4782,50140,Decatur,27.19235294117647,15.575882352941179,231.45000000000002,6.807352941176471,2759.88,81.17294117647059,LAMONI,27,83.1,9.0,575.4000000000001,61.5,2015-01-14,2016-03-30
915,4783,50536,Palo Alto,49.825714285714284,17.78986394557823,244.5,8.732142857142858,4182.0,149.35714285714286,EMMETSBURG,74,693.7800000000001,46.5,1680.7800000000002,123.0,2015-01-13,2016-03-15
916,4785,51521,Pottawattamie,48.08999999999999,16.434047619047618,271.8,9.707142857142857,4011.9600000000005,143.28428571428574,AVOCA,78,935.58,66.0,1111.92,72.0,2015-04-08,2016-03-30
917,4786,50273,Madison,31.80260869565218,22.014409937888196,142.12,6.179130434782609,2191.4,95.27826086956522,WINTERSET,61,591.68,41.45,814.6199999999999,86.1,2015-01-13,2016-03-29
